0055,元大MSCI金融,市,2023/12/12,,23.77,0.01,0.04,109,2.6,23.76,23.78,23.78,23.73,0.21,,,    ,    ,    ,    ,    
2613,中櫃,市,2023/12/12,,22.2,0.1,0.45,182,4.03,22.1,22.3,22.4,22.05,1.58,41.1,0.97,    ,    ,    ,    ,    
2614,東森,市,2023/12/12,,22.6,-0.35,-1.53,1043,23.7,22.95,23.1,23.15,22.6,2.4,,1.83,    ,    ,    ,    ,    
2641,正德,櫃,2023/12/12,,21.5,-0.4,-1.83,12973,282,21.9,21.95,22.2,21.4,3.65,6.96,0.97,    ,    ,    ,    ,    
2701,萬企,市,2023/12/12,,12.8,-0.05,-0.39,173,2.21,12.85,12.85,12.85,12.75,0.78,27.8,0.69,    ,    ,    ,    ,    
2702,華園,市,2023/12/12,,21.05,0.2,0.96,58,1.22,20.85,20.85,21.1,20.85,1.2,9.48,0.99,    ,    ,    ,    ,    
2705,六福,市,2023/12/12,,17.65,-0.1,-0.56,616,10.8,17.75,17.65,17.7,17.4,1.69,,0.71,    ,    ,    ,    ,    
2706,第一店,市,2023/12/12,,15.65,-0.1,-0.63,354,5.54,15.75,15.7,15.7,15.6,0.63,30.1,0.79,    ,    ,    ,    ,    
2724,富驛-KY,櫃,2023/12/12,,13.5,0,0,5,0.07,13.5,13.5,13.5,13.5,0,,3.38,    ,    ,    ,    ,    
2801,彰銀,市,2023/12/12,,18,0.05,0.28,5341,95.9,17.95,18,18,17.9,0.56,15.4,1.08,    ,    ,    ,    ,    
2812,台中銀,市,2023/12/12,,16.5,0.05,0.3,5856,96.4,16.45,16.5,16.6,16.4,1.22,13.6,1.18,    ,    ,    ,    ,    
2820,華票,市,2023/12/12,,14.9,-0.05,-0.33,452,6.73,14.95,14.95,14.95,14.85,0.67,16.6,0.86,    ,    ,    ,    ,    
2832,台產,市,2023/12/12,,25,0.05,0.2,242,6.04,24.95,24.95,25,24.9,0.4,10,0.83,    ,    ,    ,    ,    
2834,臺企銀,市,2023/12/12,,13.7,0,0,8540,117,13.7,13.75,13.75,13.65,0.73,9.86,0.98,    ,    ,    ,    ,    
2836,高雄銀,市,2023/12/12,,12.3,0,0,638,7.84,12.3,12.3,12.3,12.25,0.41,18.1,0.91,    ,    ,    ,    ,    
2836A,高雄銀甲特,市,2023/12/12,,21.1,-0.05,-0.24,10,0.21,21.15,21.1,21.1,21.1,0,,,    ,    ,    ,    ,    
2838,聯邦銀,市,2023/12/12,,14.1,0.05,0.36,1628,22.9,14.05,14.05,14.15,14.05,0.71,12.7,0.85,    ,    ,    ,    ,    
2845,遠東銀,市,2023/12/12,,12.6,0.1,0.8,3490,43.9,12.5,12.65,12.65,12.5,1.2,11.2,0.89,    ,    ,    ,    ,    
2849,安泰銀,市,2023/12/12,,14.9,0.1,0.68,66,0.98,14.8,14.75,14.9,14.75,1.01,135,0.89,    ,    ,    ,    ,    
2851,中再保,市,2023/12/12,,22.8,-0.05,-0.22,670,15.3,22.85,22.9,22.9,22.8,0.44,10.7,1,    ,    ,    ,    ,    
2852,第一保,市,2023/12/12,,18.3,-0.15,-0.81,311,5.7,18.45,18.4,18.45,18.3,0.81,10.3,0.7,    ,    ,    ,    ,    
2855,統一證,市,2023/12/12,,19.3,0.1,0.52,718,13.8,19.2,19.2,19.3,19.2,0.52,10.5,0.89,    ,    ,    ,    ,    
2867,三商壽,市,2023/12/12,,5.07,0,0,6228,31.5,5.07,5.08,5.08,5.05,0.59,,0.61,    ,    ,    ,    ,    
2880,華南金,市,2023/12/12,,22.2,0,0,5736,127,22.2,22.25,22.25,22.1,0.68,14.9,1.55,    ,    ,    ,    ,    
2883,開發金,市,2023/12/12,,12.25,-0.1,-0.81,29075,358,12.35,12.4,12.4,12.25,1.21,15.1,0.96,    ,    ,    ,    ,    
2883B,開發金乙特,市,2023/12/12,,7.11,0,0,1013,7.19,7.11,7.11,7.13,7.09,0.56,,,    ,    ,    ,    ,    
2887,台新金,市,2023/12/12,,18,0,0,11165,201,18,18.05,18.05,17.9,0.83,13.7,1.17,    ,    ,    ,    ,    
2887Z1,台新己特,市,2023/12/12,,17,0,0,3,0.05,17,17,17,17,0,,,    ,    ,    ,    ,    
2888,新光金,市,2023/12/12,,8.68,-0.03,-0.34,28996,251,8.71,8.75,8.75,8.63,1.38,,0.59,    ,    ,    ,    ,    
2889,國票金,市,2023/12/12,,11.4,0,0,5810,66.3,11.4,11.45,11.5,11.4,0.88,23.3,1,    ,    ,    ,    ,    
2890,永豐金,市,2023/12/12,,19.75,0.2,1.02,25299,497,19.55,19.6,19.75,19.45,1.53,12.8,1.37,    ,    ,    ,    ,    
2897,王道銀行,市,2023/12/12,,9.93,0,0,3990,40,9.93,9.92,9.94,9.86,0.81,5.25,0.76,    ,    ,    ,    ,    
2897A,王道銀甲特,市,2023/12/12,,10.3,-0.05,-0.48,5,0.05,10.35,10.3,10.3,10.3,0,,,    ,    ,    ,    ,    
2903,遠百,市,2023/12/12,,24.55,0.35,1.45,3008,73.7,24.2,24.2,24.65,24.2,1.86,12.2,1.08,    ,    ,    ,    ,    
2904,匯僑,市,2023/12/12,,18.9,-0.15,-0.79,146,2.75,19.05,19,19,18.85,0.79,17.2,1.21,    ,    ,    ,    ,    
2905,三商,市,2023/12/12,,13.2,-0.15,-1.12,2101,27.8,13.35,13.2,13.4,13.1,2.25,,0.82,    ,    ,    ,    ,    
2906,高林,市,2023/12/12,,18.2,0.15,0.83,510,9.28,18.05,18.3,18.35,18.1,1.39,50.6,1.16,    ,    ,    ,    ,    
2908,特力,市,2023/12/12,,20.9,0.25,1.21,289,6.02,20.65,20.8,21.05,20.65,1.94,49.8,1.56,    ,    ,    ,    ,    
2911,麗嬰房,市,2023/12/12,,6.69,0.01,0.15,149,0.99,6.68,6.68,6.7,6.65,0.75,,1.27,    ,    ,    ,    ,    
2913,農林,市,2023/12/12,,21.4,-0.4,-1.83,3263,70.2,21.8,21.75,21.75,21.35,1.83,,1.32,    ,    ,    ,    ,    
2929,淘帝-KY,市,2023/12/12,,12.5,-0.5,-3.85,749,9.57,13,13,13.2,12.5,5.38,,0.47,    ,    ,    ,    ,    
3002,歐格,市,2023/12/12,,13.45,-0.3,-2.18,409,5.56,13.75,13.75,13.8,13.45,2.55,84.1,1.05,    ,    ,    ,    ,    
3018,隆銘綠能,市,2023/12/12,,13.8,0,0,13,0.18,13.8,13.6,13.8,13.6,1.45,,11.5,    ,    ,    ,    ,    
3021,鴻名,市,2023/12/12,,20.9,-0.1,-0.48,142,2.97,21,21.1,21.1,20.8,1.43,16.1,1.3,    ,    ,    ,    ,    
3024,憶聲,市,2023/12/12,,17.25,-0.25,-1.43,1344,23.3,17.5,17.5,17.65,17.2,2.57,45.4,1.67,    ,    ,    ,    ,    
3031,佰鴻,市,2023/12/12,,18.45,0.05,0.27,170,3.14,18.4,18.5,18.55,18.3,1.36,19.8,1.07,    ,    ,    ,    ,    
3047,訊舟,市,2023/12/12,,15.5,-0.1,-0.64,1183,18.5,15.6,15.7,15.8,15.45,2.24,81.6,1.3,    ,    ,    ,    ,    
3048,益登,市,2023/12/12,,24.6,0.05,0.2,538,13.2,24.55,24.6,24.7,24.2,2.04,164,1.27,    ,    ,    ,    ,    
3049,精金,市,2023/12/12,,9.7,-0.15,-1.52,1431,14,9.85,9.86,9.88,9.7,1.83,,0.84,    ,    ,    ,    ,    
3050,鈺德,市,2023/12/12,,17.65,-0.1,-0.56,1462,26.1,17.75,17.75,18.1,17.6,2.82,19.4,1.07,    ,    ,    ,    ,    
3052,夆典,市,2023/12/12,,11.6,0.05,0.43,281,3.25,11.55,11.55,11.6,11.5,0.87,10.6,0.72,    ,    ,    ,    ,    
3054,立萬利,市,2023/12/12,,20.2,-0.1,-0.49,7,0.14,20.3,20.3,20.3,20.05,1.23,,2.12,    ,    ,    ,    ,    
3057,喬鼎,市,2023/12/12,,12.1,-0.25,-2.02,237,2.89,12.35,12.45,12.45,12.05,3.24,,1.36,    ,    ,    ,    ,    
3058,立德,市,2023/12/12,,20.8,0,0,472,9.77,20.8,20.95,20.95,20.6,1.68,104,2.18,    ,    ,    ,    ,    
3060,銘異,市,2023/12/12,,20.9,-0.25,-1.18,823,17.3,21.15,21.4,21.4,20.8,2.84,,1.09,    ,    ,    ,    ,    
3062,建漢,市,2023/12/12,,22.15,-0.35,-1.56,2218,49.4,22.5,22.6,22.6,22.1,2.22,,1.5,    ,    ,    ,    ,    
3064,泰偉,櫃,2023/12/12,,11.7,0,0,10,0.12,11.7,11.7,11.7,11.7,0,,4.92,    ,    ,    ,    ,    
3066,李洲,櫃,2023/12/12,,17.25,0.1,0.58,18,0.32,17.15,17.1,17.25,17,1.46,16.3,1.33,    ,    ,    ,    ,    
3085,新零售,櫃,2023/12/12,,11.45,0.15,1.33,27,0.31,11.3,11.35,11.5,11.15,3.1,,2.41,    ,    ,    ,    ,    
3115,富榮綱,櫃,2023/12/12,,10.8,0.2,1.89,25,0.27,10.6,10.6,10.95,10.6,3.3,,2.2,    ,    ,    ,    ,    
3149,正達,市,2023/12/12,,23.15,-0.6,-2.53,484,11.3,23.75,23.7,23.8,23.15,2.74,,2.35,    ,    ,    ,    ,    
3164,景岳,市,2023/12/12,,24.45,0.15,0.62,15,0.37,24.3,24.3,24.45,24.25,0.82,42.9,1.59,    ,    ,    ,    ,    
3171,新洲,櫃,2023/12/12,,20.65,0.15,0.73,299,6.21,20.5,20.7,21.1,20.55,2.68,8.75,1.32,    ,    ,    ,    ,    
3188,鑫龍騰,櫃,2023/12/12,,16,-0.05,-0.31,527,8.45,16.05,16,16.15,15.95,1.25,21.6,1.28,    ,    ,    ,    ,    
3191,和進,櫃,2023/12/12,,12.7,-0.1,-0.78,365,4.81,12.8,12.95,13.7,12.65,8.2,,4.36,    ,    ,    ,    ,    
3202,樺晟,櫃,2023/12/12,,15.5,-0.2,-1.27,687,10.7,15.7,15.6,15.75,15.4,2.23,,1.63,    ,    ,    ,    ,    
3229,晟鈦,市,2023/12/12,,16.1,-0.2,-1.23,142,2.29,16.3,16.3,16.3,16.05,1.53,,1.64,    ,    ,    ,    ,    
3230,錦明,櫃,2023/12/12,,9.9,-0.1,-1,76,0.75,10,9.81,10,9.81,1.9,,1.16,    ,    ,    ,    ,    
3232,昱捷,櫃,2023/12/12,,23.35,-0.05,-0.21,44,1.04,23.4,23.5,23.5,23.2,1.28,45.8,1.54,    ,    ,    ,    ,    
3236,千如,櫃,2023/12/12,,23.25,-0.05,-0.21,132,3.08,23.3,23.4,23.5,23.2,1.29,22.1,1.41,    ,    ,    ,    ,    
3252,海灣,櫃,2023/12/12,,21.3,0.05,0.24,60,1.28,21.25,21.35,21.35,21.1,1.18,,0.54,    ,    ,    ,    ,    
3266,昇陽,市,2023/12/12,,19.8,-1.35,-6.38,6292,129,21.15,21.6,21.9,19.8,9.93,17.4,1.23,    ,    ,    ,    ,    
3276,宇環,櫃,2023/12/12,,24.15,-1.1,-4.36,3606,87.7,25.25,25.3,25.5,23.65,7.33,39.6,2.13,    ,    ,    ,    ,    
3284,太普高,櫃,2023/12/12,,17.95,-0.05,-0.28,127,2.28,18,18.2,18.2,17.75,2.5,28,1.56,    ,    ,    ,    ,    
3288,點晶,櫃,2023/12/12,,23.95,2.15,9.86,140,3.35,21.8,23.6,23.95,23,4.36,,3.5,    ,    ,    ,    ,    
3294,英濟,櫃,2023/12/12,,19.45,0.15,0.78,201,3.91,19.3,19.3,19.6,19.3,1.55,,1.17,    ,    ,    ,    ,    
3296,勝德,市,2023/12/12,,17.5,0.6,3.55,1082,18.7,16.9,17,17.6,16.95,3.85,,1.44,    ,    ,    ,    ,    
3297,杭特,櫃,2023/12/12,,17.5,-0.05,-0.28,40,0.7,17.55,17.55,17.6,17.5,0.57,,1.1,    ,    ,    ,    ,    
3312,弘憶股,市,2023/12/12,,22,0.5,2.33,966,21.2,21.5,21.55,22.1,21.55,2.56,9.69,1.34,    ,    ,    ,    ,    
3313,斐成,櫃,2023/12/12,,11.65,-0.15,-1.27,239,2.82,11.8,11.8,11.95,11.65,2.54,,1.39,    ,    ,    ,    ,    
3321,同泰,市,2023/12/12,,14.6,-0.35,-2.34,339,4.97,14.95,14.65,14.9,14.5,2.68,,2.26,    ,    ,    ,    ,    
3322,建舜電,櫃,2023/12/12,,22.9,-0.35,-1.51,1302,29.9,23.25,23.25,23.25,22.85,1.72,26,1.75,    ,    ,    ,    ,    
3339,泰谷,櫃,2023/12/12,,18.6,-0.4,-2.11,247,4.6,19,19,19,18.45,2.89,50.3,1.51,    ,    ,    ,    ,    
3349,寶德,櫃,2023/12/12,,17.2,0,0,5,0.09,17.2,17,17.2,16.9,1.74,,1.88,    ,    ,    ,    ,    
3354,律勝,櫃,2023/12/12,,15.35,-0.25,-1.6,317,4.88,15.6,15.7,15.7,15,4.49,,1.14,    ,    ,    ,    ,    
3360,尚立,櫃,2023/12/12,,12.7,-0.4,-3.05,382,4.96,13.1,13.1,13.3,12.7,4.58,,1.05,    ,    ,    ,    ,    
3372,典範,櫃,2023/12/12,,15.3,0,0,999,15.2,15.3,15.4,15.45,15.05,2.61,,1.39,    ,    ,    ,    ,    
3379,彬台,櫃,2023/12/12,,15.75,0.75,5,696,11,15,15.3,16.25,15.3,6.33,,1.14,    ,    ,    ,    ,    
3419,譁裕,市,2023/12/12,,18.15,-0.15,-0.82,513,9.36,18.3,18.35,18.5,18.15,1.91,,1.54,    ,    ,    ,    ,    
3432,台端,市,2023/12/12,,10.95,0,0,32,0.35,10.95,10.9,11,10.9,0.91,,1.64,    ,    ,    ,    ,    
3466,德晉,櫃,2023/12/12,,22.8,-0.35,-1.51,114,2.62,23.15,23.2,23.2,22.8,1.73,,1.39,    ,    ,    ,    ,    
3481,群創,市,2023/12/12,,12.6,-0.4,-3.08,69467,880,13,12.9,12.95,12.5,3.46,,0.49,    ,    ,    ,    ,    
3489,森寶,櫃,2023/12/12,,14.3,0.15,1.06,536,7.64,14.15,14.2,14.4,14.15,1.77,27.5,0.93,    ,    ,    ,    ,    
3490,單井,櫃,2023/12/12,,23,-0.15,-0.65,250,5.75,23.15,23.15,23.2,22.95,1.08,19.3,1.01,    ,    ,    ,    ,    
3492,長盛,櫃,2023/12/12,,19.35,-0.2,-1.02,37,0.72,19.55,19.6,19.6,19.35,1.28,23.9,1.18,    ,    ,    ,    ,    
3494,誠研,市,2023/12/12,,6.87,0.02,0.29,73,0.5,6.85,6.85,6.93,6.78,2.19,,1.78,    ,    ,    ,    ,    
3499,環天科,櫃,2023/12/12,,22,-0.8,-3.51,2304,50.7,22.8,23,23.1,21.4,7.46,,2.23,    ,    ,    ,    ,    
3516,亞帝歐,櫃,2023/12/12,,19.05,-0.6,-3.05,673,13.1,19.65,19.65,20.1,18.85,6.36,24.4,0.74,    ,    ,    ,    ,    
3520,華盈,櫃,2023/12/12,,17.15,-0.2,-1.15,148,2.56,17.35,17.5,17.5,17.15,2.02,156,1.47,    ,    ,    ,    ,    
3521,鴻翊,櫃,2023/12/12,,18,-0.05,-0.28,139,2.5,18.05,17.6,18.1,17.6,2.77,,1.97,    ,    ,    ,    ,    
3522,御頂,櫃,2023/12/12,,20,-1,-4.76,418,8.49,21,20.4,20.9,20,4.29,,3.03,    ,    ,    ,    ,    
3523,迎輝,櫃,2023/12/12,,17,-0.2,-1.16,22,0.38,17.2,17.2,17.2,16.7,2.91,,1.78,    ,    ,    ,    ,    
3535,晶彩科,市,2023/12/12,,18.8,-0.05,-0.27,149,2.79,18.85,19,19,18.65,1.86,60.6,1.29,    ,    ,    ,    ,    
3543,州巧,市,2023/12/12,,23.2,-0.15,-0.64,115,2.7,23.35,23.6,23.6,23.1,2.14,33.6,0.73,    ,    ,    ,    ,    
3550,聯穎,市,2023/12/12,,14.75,-0.05,-0.34,43,0.63,14.8,14.8,14.85,14.7,1.01,,0.71,    ,    ,    ,    ,    
3576,聯合再生,市,2023/12/12,,14.45,-0.1,-0.69,2951,42.7,14.55,14.6,14.65,14.4,1.72,,1.58,    ,    ,    ,    ,    
3593,力銘,市,2023/12/12,,11.4,-0.05,-0.44,29,0.33,11.45,11.5,11.5,11.15,3.06,,2.18,    ,    ,    ,    ,    
3597,映興,櫃,2023/12/12,,21.35,0.15,0.71,31,0.67,21.2,21.45,21.45,21.2,1.18,28.5,1.47,    ,    ,    ,    ,    
3607,谷崧,市,2023/12/12,,16.8,-0.3,-1.75,2345,39.5,17.1,17,17.35,16.6,4.39,,1.1,    ,    ,    ,    ,    
3615,安可,櫃,2023/12/12,,24.5,-0.25,-1.01,540,13.3,24.75,24.85,25.15,24.3,3.43,31.4,0.73,    ,    ,    ,    ,    
3625,西勝,櫃,2023/12/12,,16.35,0.15,0.93,212,3.49,16.2,16.8,16.8,16.3,3.09,,2.16,    ,    ,    ,    ,    
3632,研勤,櫃,2023/12/12,,14.1,0.05,0.36,31,0.44,14.05,14.05,14.15,14.05,0.71,157,3.85,    ,    ,    ,    ,    
3664,安瑞-KY,櫃,2023/12/12,,23.05,-0.5,-2.12,79,1.85,23.55,24,24,23.05,4.03,,4.54,    ,    ,    ,    ,    
3685,元創精密,櫃,2023/12/12,,22.25,0.2,0.91,32,0.71,22.05,22.1,22.4,22.1,1.36,,2.04,    ,    ,    ,    ,    
3686,達能,市,2023/12/12,,13.55,-0.25,-1.81,251,3.43,13.8,13.95,13.95,13.5,3.26,,1.46,    ,    ,    ,    ,    
3710,連展投控,櫃,2023/12/12,,10.5,-0.2,-1.87,1201,12.7,10.7,10.85,10.85,10.45,3.74,,1.66,    ,    ,    ,    ,    
4108,懷特,市,2023/12/12,,21.7,-0.3,-1.36,536,11.7,22,22,22.05,21.7,1.59,,2.24,    ,    ,    ,    ,    
4109,加捷生醫,櫃,2023/12/12,,15.55,-0.1,-0.64,482,7.54,15.65,15.65,15.85,15.4,2.88,,1.55,    ,    ,    ,    ,    
4127,天良,櫃,2023/12/12,,14.3,0,0,109,1.56,14.3,14.3,14.4,14.25,1.05,25.1,1.35,    ,    ,    ,    ,    
4131,浩泰,櫃,2023/12/12,,23,0,0,19,0.43,23,22.95,23,22.95,0.22,,2.44,    ,    ,    ,    ,    
4154,樂威科-KY,櫃,2023/12/12,,14.55,0.15,1.04,31,0.45,14.4,14.4,14.85,14.25,4.17,,2.19,    ,    ,    ,    ,    
4157,太景*-KY,櫃,2023/12/12,,15.25,-0.15,-0.97,1357,20.7,15.4,15.55,15.55,15.2,2.27,,12,    ,    ,    ,    ,    
4167,松瑞藥,櫃,2023/12/12,,22.1,-0.45,-2,6943,153,22.55,22.45,22.5,21.9,2.66,,2.12,    ,    ,    ,    ,    
4173,久裕,櫃,2023/12/12,,22,-0.25,-1.12,238,5.29,22.25,22.25,22.55,22,2.47,23.9,0.8,    ,    ,    ,    ,    
4198,欣大健康,櫃,2023/12/12,,24.15,0,0,2,0.04,24.15,24.15,24.15,24.15,0,,4.09,    ,    ,    ,    ,    
4207,環泰,櫃,2023/12/12,,17.3,0.1,0.58,575,9.95,17.2,17.4,17.4,17.2,1.16,17.5,1.36,    ,    ,    ,    ,    
4303,信立,櫃,2023/12/12,,19.45,-0.05,-0.26,36,0.71,19.5,19.5,19.55,19.45,0.51,31.9,1.48,    ,    ,    ,    ,    
4304,勝昱,櫃,2023/12/12,,8,-0.02,-0.25,51,0.41,8.02,8.11,8.29,7.87,5.24,,1.55,    ,    ,    ,    ,    
4306,炎洲,市,2023/12/12,,17.95,0,0,3229,58.1,17.95,18.1,18.15,17.7,2.51,13.5,0.95,    ,    ,    ,    ,    
4402,福大,櫃,2023/12/12,,11.5,0.15,1.32,245,2.8,11.35,11.3,11.5,11.3,1.76,,1.97,    ,    ,    ,    ,    
4406,新昕纖,櫃,2023/12/12,,10.15,0.05,0.5,120,1.21,10.1,10.05,10.15,10.05,0.99,,0.78,    ,    ,    ,    ,    
4413,飛寶企業,櫃,2023/12/12,,24.75,-0.05,-0.2,373,9.35,24.8,24.75,26,24.3,6.85,35.9,2.14,    ,    ,    ,    ,    
4414,如興,市,2023/12/12,,3.59,-0.14,-3.75,2265,8.25,3.73,3.73,3.73,3.59,3.75,,0.81,    ,    ,    ,    ,    
4426,利勤,市,2023/12/12,,21.3,-0.6,-2.74,472,10.2,21.9,22.2,22.2,21.25,4.34,96.8,1.34,    ,    ,    ,    ,    
4430,耀億,櫃,2023/12/12,,21.1,-0.15,-0.71,42,0.89,21.25,21.25,21.25,20.95,1.41,,0.62,    ,    ,    ,    ,    
4432,銘旺實,櫃,2023/12/12,,24.25,-0.15,-0.61,152,3.67,24.4,24.55,24.6,24,2.46,11,0.9,    ,    ,    ,    ,    
4510,高鋒,櫃,2023/12/12,,16.2,-0.25,-1.52,349,5.73,16.45,16.5,16.6,16.2,2.43,19.5,0.92,    ,    ,    ,    ,    
4513,福裕,櫃,2023/12/12,,18.65,0.05,0.27,65,1.22,18.6,18.6,18.85,18.6,1.34,13.6,1.45,    ,    ,    ,    ,    
4526,東台,市,2023/12/12,,19.1,0.55,2.96,515,9.73,18.55,18.9,19.15,18.5,3.5,,0.96,    ,    ,    ,    ,    
4529,淳紳,櫃,2023/12/12,,9.67,0,0,100,0.96,9.67,9.78,9.78,9.58,2.07,,1.64,    ,    ,    ,    ,    
4530,宏易,櫃,2023/12/12,,6.68,0.13,1.98,3,0.02,6.55,6.5,6.68,6.5,2.75,,1.66,    ,    ,    ,    ,    
4532,瑞智,市,2023/12/12,,21.75,0.05,0.23,2208,48.2,21.7,21.7,22.1,21.55,2.53,15.5,1.11,    ,    ,    ,    ,    
4534,慶騰,櫃,2023/12/12,,10.05,0.06,0.6,61,0.6,9.99,9.88,10.05,9.88,1.7,,1.26,    ,    ,    ,    ,    
4538,大詠城,櫃,2023/12/12,,18.7,0,0,41,0.76,18.7,18.7,18.8,18.6,1.07,14.4,1.25,    ,    ,    ,    ,    
4562,穎漢,市,2023/12/12,,15.5,0.1,0.65,105,1.61,15.4,15.4,15.5,15.35,0.97,,1.24,    ,    ,    ,    ,    
4564,元翎,市,2023/12/12,,23.95,0.05,0.21,484,11.6,23.9,24,24.1,23.85,1.05,,1.1,    ,    ,    ,    ,    
4577,達航科技,櫃,2023/12/12,,23.9,-2.25,-8.6,519,12.6,26.15,25,25,23.9,4.21,,0.95,    ,    ,    ,    ,    
4609,唐鋒,櫃,2023/12/12,,5.79,-0.03,-0.52,7,0.04,5.82,5.82,5.82,5.79,0.52,,1.56,    ,    ,    ,    ,    
4702,中美實,櫃,2023/12/12,,13,0.1,0.78,364,4.69,12.9,12.9,13,12.85,1.16,14.9,0.78,    ,    ,    ,    ,    
4707,磐亞,櫃,2023/12/12,,12.7,-0.1,-0.78,428,5.46,12.8,12.8,12.85,12.7,1.17,13.4,0.84,    ,    ,    ,    ,    
4711,永純,櫃,2023/12/12,,16.25,0,0,49,0.8,16.25,16.25,16.25,16.2,0.31,108,0.94,    ,    ,    ,    ,    
4712,南璋,櫃,2023/12/12,,2.71,0.05,1.88,126,0.33,2.66,2.66,2.71,2.6,4.14,,3.82,    ,    ,    ,    ,    
4714,永捷,櫃,2023/12/12,,13.7,0.1,0.74,1093,15.1,13.6,13.85,13.95,13.7,1.84,,1.28,    ,    ,    ,    ,    
4716,大立,櫃,2023/12/12,,12.95,-0.05,-0.38,134,1.74,13,13.15,13.2,12.95,1.92,,1.05,    ,    ,    ,    ,    
4720,德淵,市,2023/12/12,,15.95,0.3,1.92,1235,19.7,15.65,16.05,16.05,15.75,1.92,21.3,1.2,    ,    ,    ,    ,    
4729,熒茂,櫃,2023/12/12,,15.55,-0.15,-0.96,64,1,15.7,15.7,15.75,15.5,1.59,27.8,1.06,    ,    ,    ,    ,    
4804,大略-KY,櫃,2023/12/12,,4.4,0.02,0.46,63,0.28,4.38,4.25,4.5,4.25,5.71,,1.31,    ,    ,    ,    ,    
4806,昇華,櫃,2023/12/12,,14.5,-1.45,-9.09,372,5.45,15.95,15.95,15.95,14.5,9.09,,9.86,    ,    ,    ,    ,    
4807,日成-KY,市,2023/12/12,,16.8,-0.5,-2.89,40,0.67,17.3,17.05,17.05,16.75,1.73,,0.86,    ,    ,    ,    ,    
4903,聯光通,櫃,2023/12/12,,16.9,0,0,35,0.6,16.9,16.9,16.9,16.8,0.59,,1.91,    ,    ,    ,    ,    
4924,欣厚-KY,櫃,2023/12/12,,11.55,-0.2,-1.7,17,0.2,11.75,11.6,11.6,11.5,0.85,,1.2,    ,    ,    ,    ,    
4939,亞電,櫃,2023/12/12,,20.65,-0.1,-0.48,1995,42,20.75,20.8,21.6,20.45,5.54,76.5,1.3,    ,    ,    ,    ,    
4943,康控-KY,市,2023/12/12,,15.15,-0.45,-2.88,20,0.3,15.6,14.6,15.6,14.6,6.41,,50.5,    ,    ,    ,    ,    
4956,光鋐,市,2023/12/12,,16.3,-0.2,-1.21,356,5.83,16.5,16.6,16.6,16.25,2.12,,0.91,    ,    ,    ,    ,    
4960,誠美材,市,2023/12/12,,13.05,-0.05,-0.38,3883,50.5,13.1,13.1,13.15,12.85,2.29,,0.79,    ,    ,    ,    ,    
